material,r,V,p_int,q_int,recon,dissoc
carbon,1.05,6.8088471964965214227870675728458475952328952204697387378902780744699829965449031E-19,0,0,0E-79,1
carbon,1.051505376344086,6.7499639832541844578281668461872299378136754146543728413282721076748793895677722E-19,0,0,0E-79,1
carbon,1.053010752688172,6.6914684368416062019688306564862240118080534537356114538910246262659592832233964E-19,0,0,0E-79,1
carbon,1.0545161290322582,6.6333585345077894610085049059193515098109397230362978098173846072638129434888865E-19,0,0,0E-79,1
carbon,1.0560215053763442,6.5756322632385587284503755973733167937442896967423258967463922248140875405243766E-19,0,0,0E-79,1
carbon,1.0575268817204302,6.5182876197112474017222579086346032204003149205698738931502491150671808607808098E-19,0,0,0E-79,1
carbon,1.0590322580645162,6.4613226102496667426755706150465888479166003419687586312745037862582275476403843E-19,0,0,0E-79,1
carbon,1.0605376344086022,6.4047352507791927712473093026836470026316688087509930604810373113895796749858766E-19,0,0,0E-79,1
carbon,1.0620430107526881,6.3485235667821715249899191367099164251351707029843653139718374832540446962252672E-19,0,0,0E-79,1
carbon,1.0635483870967741,6.2926855932534151835604862656123653941293793338699708506979501422348022300295751E-19,0,0,0E-79,1
carbon,1.0650537634408603,6.2372193746559561063684319401569750089999556901755315330756234266433852004482207E-19,0,0,0E-79,1
carbon,1.0665591397849463,6.1821229648770370828836982960125110061359641816143799335570495698609343033688904E-19,0,0,0E-79,1
carbon,1.0680645161290323,6.1273944271842192048285653486352504321071365990455526981073089364321002686094637E-19,0,0,0E-79,1
carbon,1.0695698924731183,6.0730318341817559577712366081124095146523941429758277519903071810629680465987646E-19,0,0,0E-79,1
carbon,1.0710752688172043,6.0190332677671539428441391944655720734099878462488811038684522545102383159838330E-19,0,0,0E-79,1
carbon,1.0725806451612905,5.9653968190878903706271249887657557841607143038616055198284671114196938830768877E-19,0,0,0E-79,1
carbon,1.0740860215053765,5.9121205884984350400797308924838502114321220216712436990596015228312265487464295E-19,0,0,0E-79,1
carbon,1.0755913978494624,5.8592026855173177247297959425702962147301253051414892533996498613891582301706279E-19,0,0,0E-79,1
carbon,1.0770967741935484,5.8066412287845031574730858037062554479380850606354807289492848054916604108071363E-19,0,0,0E-79,1
carbon,1.0786021505376344,5.7544343460189689286514562996303659962939823412563342342067740043990602438193424E-19,0,0,0E-79,0
carbon,1.0801075268817204,5.7025801739763714946618115732059374845964244781286048850176660433955050894559296E-19,0,0,0E-79,0
carbon,1.0816129032258064,5.6510768584070119149123821954463993631394295074564148845966197575229045293853277E-19,0,0,0E-79,0
carbon,1.0831182795698924,5.5999225540139685533058392871026149843764196571187419405321239950558711284589768E-19,0,0,0E-79,0
carbon,1.0846236559139786,5.5491154244113626918222473319159328318323798196972068118846162606136094367877246E-19,0,0,0E-79,0
carbon,1.0861290322580646,5.4986536420829158945437205535470100835039266003473489052089177669769379485576820E-19,0,0,0E-79,0
carbon,1.0876344086021505,5.4485353883405997977316629121949995735403567684126998054426080867628208677075160E-19,0,0,0E-79,0
carbon,1.0891397849462365,5.3987588532835224325126087115932288503997040414578419784395740361273123081234654E-19,0,0,0E-79,0
carbon,1.0906451612903225,5.3493222357570198224856587023733447240113995608432108451745986754384665030646012E-19,0,0,0E-79,0
carbon,1.0921505376344087,5.3002237433118961149805287358661473731477508672513991519520709442865961837796697E-19,0,0,0E-79,0
carbon,1.0936559139784947,5.2514615921638853579509911718932986216017972984078837771968651227607638981856014E-19,0,0,0E-79,0
carbon,1.0951612903225807,5.2030340071532539991768831093198771395041254399374085703038266412092300545960669E-19,0,0,0E-79,0
carbon,1.0966666666666667,5.1549392217046298615493005116637937901670700902049323735833766861337860857307493E-19,0,0,0E-79,0
carbon,1.0981720430107527,5.1071754777870043617505593235992258673143335825979597328442385992983664500063927E-19,0,0,0E-79,0
carbon,1.0996774193548386,5.0597410258739139738873548919118542821971501044754722737500410070122638581433623E-19,0,0,0E-79,0
carbon,1.1011827956989246,5.0126341249037873225223511500834510550364485336274338429777918375989604068968989E-19,0,0,0E-79,0
carbon,1.1026881720430108,4.9658530422405101290578527578736914146789222508973702567523513017321102936159201E-19,0,0,0E-79,0
carbon,1.1041935483870968,4.9193960536341612269323153577586605597707749361873102414829639418790337275344590E-19,0,0,0E-79,0
carbon,1.1056989247311828,4.8732614431818830499291026719164020337512004618105273248378870506507390239081692E-19,0,0,0E-79,0
carbon,1.1072043010752688,4.8274475032889929081119246699043759980130388051573872544287722693482840477478311E-19,0,0,0E-79,0
carbon,1.1087096774193548,4.7819525346302460189359783174506116990862232851561576584603113793706808008918078E-19,0,0,0E-79,0
carbon,1.110215053763441,4.7367748461112597680410459419513289490098202221364217996126679709160434835136600E-19,0,0,0E-79,0
carbon,1.111720430107527,4.6919127548301676723004311751474238207610411285039441688506796045066206655720880E-19,0,0,0E-79,0
carbon,1.113225806451613,4.6473645860393626464690878101741348204554421607375381242334162909868616222779887E-19,0,0,0E-79,0
carbon,1.114731182795699,4.6031286731075080320146116807832648534771213152447137419617538132735376314916956E-19,0,0,0E-79,0
carbon,1.116236559139785,4.5592033574816564932714967098204380065005322127342636208988246897105075305479907E-19,0,0,0E-79,0
carbon,1.117741935483871,4.5155869886495844443599178634001959130560076779075486106704686192024511894670492E-19,0,0,0E-79,0
carbon,1.1192473118279571,4.4722779241022625551675089939909727384054038617323850131991933048074419303344215E-19,0,0,0E-79,0
carbon,1.120752688172043,4.4292745292965366435240179755713102926541358359082925188882499651170558158790031E-19,0,0,0E-79,0
carbon,1.122258064516129,4.3865751776179363348163722391449196215732426686087623099663316405111726415375253E-19,0,0,0E-79,0
carbon,1.123763440860215,4.3441782503437003548264962291367683009787370031516832230271548817135254075329850E-19,0,0,0E-79,0
carbon,1.125268817204301,4.3020821366059403441287460675410715574173991907821164910798265698459031037328327E-19,0,0,0E-79,0
carbon,1.1267741935483873,4.2602852333549672868037282847053877232852989640182372621924566240128867396317717E-19,0,0,0E-79,0
carbon,1.1282795698924732,4.2187859453228471599357069157380718547003873087815370160826330469233336219793042E-19,0,0,0E-79,0
carbon,1.1297849462365592,4.1775826849870080456157408946965709914757953947260442314868774339309863623978128E-19,0,0,0E-79,0
carbon,1.1312903225806452,4.1366738725341365764576739008792003061715216367675869469381183976177933110949070E-19,0,0,0E-79,0
carbon,1.1327956989247312,4.0960579358241661255374686513364247567006387941021823608121707204997313945215721E-19,0,0,0E-79,0
carbon,1.1343010752688172,4.0557333103544553307928664864121840951455940395521409233881806508953138451715632E-19,0,0,0E-79,0
carbon,1.1358064516129032,4.0156984392241274081679851844259203267111943095797050084229515751139632943418612E-19,0,0,0E-79,0
