material,Z,r,V,p_int,q_int,recon,dissoc
carbon,6,0.8964516129032258,1.5271234845521634927361444028002148330166134860914401993231349580010064285226761E-18,0,0,0E-79,1
carbon,6,0.8979569892473118,1.5160171734421371260725717782074389190172277713054835794400109914952678326876063E-18,0,0,0E-79,1
carbon,6,0.8994623655913978,1.5049763097363297932550944255612005057843359404398154798832989760186154662645039E-18,0,0,0E-79,1
carbon,6,0.9009677419354839,1.4940005637905930498439093507837073699300810580068010702425872708807656497511675E-18,0,0,0E-79,1
carbon,6,0.9024731182795699,1.4830896075244999313133099159075096605905078248653448621323679591451885722596104E-18,0,0,0E-79,1
carbon,6,0.903978494623656,1.4722431144141170812542026010053510681656156229371651861849128040934888521948949E-18,0,0,0E-79,1
carbon,6,0.905483870967742,1.4614607594848207151441236652804455672209629586287264860999500212798415920877005E-18,0,0,0E-79,1
carbon,6,0.906989247311828,1.4507422193041345260495876754310070199245489576693409186879894437690182595769615E-18,0,0,0E-79,1
carbon,6,0.9084946236559139,1.4400871719746088827746328810711958012261843727205460448795867262574966836917339E-18,0,0,0E-79,1
carbon,6,0.91,1.4294952971267246829373279254391917676433284980972162664659587738837871850461356E-18,0,0,0E-79,1
carbon,6,0.911505376344086,1.4189662759118408649345627796632337932624329224794436222413130917752929344443882E-18,0,0,0E-79,1
carbon,6,0.9130107526881721,1.4084997909951593168519637470921460570630649987241046921599920718820589963552043E-18,0,0,0E-79,1
carbon,6,0.9145161290322581,1.3980955265487358990871016348180315912682836949657541732013405743219982458853442E-18,0,0,0E-79,1
carbon,6,0.9160215053763441,1.3877531682445121970051207611925820926434160494287960145240740432288740162611957E-18,0,0,0E-79,1
carbon,6,0.9175268817204302,1.3774724032473860233133957000138700402673830887030269333338388872303010422030159E-18,0,0,0E-79,1
carbon,6,0.9190322580645162,1.3672529202083134704695187014375104042447188649898171650915379775096124887871923E-18,0,0,0E-79,1
carbon,6,0.9205376344086021,1.3570944092574369886727842155305091438381981155434651244480774721037131727229970E-18,0,0,0E-79,1
carbon,6,0.9220430107526882,1.3469965619972475984241740489128607068611536087377811335459914817365531619128886E-18,0,0,0E-79,1
carbon,6,0.9235483870967742,1.3369590714957849701149410530060883336389062825408971002538166478437651023067618E-18,0,0,0E-79,1
carbon,6,0.9250537634408602,1.3269816322798557870757654749034816996562200316505047404909864551798914039840363E-18,0,0,0E-79,1
carbon,6,0.9265591397849462,1.3170639403282931142021127314579730112069150687613521222571602218792220103509317E-18,0,0,0E-79,1
carbon,6,0.9280645161290323,1.3072056930652418503496277805315659562937692011717612068509090322414126895568106E-18,0,0,0E-79,1
carbon,6,0.9295698924731183,1.2974065893534787558743791327440528168413112269373552408060599813768812481027005E-18,0,0,0E-79,1
carbon,6,0.9310752688172044,1.2876663294877557853978188855303529156249522599012639638112906602203697999125955E-18,0,0,0E-79,1
carbon,6,0.9325806451612904,1.2779846151881835592026513449044522837461881388907545542397385017552512870534522E-18,0,0,0E-79,1
carbon,6,0.9340860215053763,1.2683611495936359444528231473123493807702870634315455324482650902795150869052154E-18,0,0,0E-79,1
carbon,6,0.9355913978494623,1.2587956372551886589294065549795109247410380575882449730550898594565814964963151E-18,0,0,0E-79,1
carbon,6,0.9370967741935484,1.2492877841295903385771039176455552136089671657006277713843865507227712631828700E-18,0,0,0E-79,1
carbon,6,0.9386021505376344,1.2398372975727608195791990451914446181916375739082253406606394924565788253198824E-18,0,0,0E-79,1
carbon,6,0.9401075268817205,1.2304438863333153630983505059712379503735950415724268362718669165379308394248567E-18,0,0,0E-79,1
carbon,6,0.9416129032258065,1.2211072605461272129192745241481425938240845619653961076410943339251226472553231E-18,0,0,0E-79,1
carbon,6,0.9431182795698925,1.2118271317259101594896672793477016456173741490072626717524256099140944555414758E-18,0,0,0E-79,1
carbon,6,0.9446236559139786,1.2026032127608366430599672869236234770914724658111702872444582857448230352175874E-18,0,0,0E-79,1
carbon,6,0.9461290322580646,1.1934352179061849293348359313137820278253750391383733874112098736315396534678233E-18,0,0,0E-79,1
carbon,6,0.9476344086021505,1.1843228627780103988518103352109395973569056276271115952715852827803439756310578E-18,0,0,0E-79,1
carbon,6,0.9491397849462366,1.1752658643468482228516718788684673341492578072006178402907282730645810024593995E-18,0,0,0E-79,1
carbon,6,0.9506451612903226,1.1662639409314507675062764942471229458089643634223698396918007240900175638585770E-18,0,0,0E-79,1
carbon,6,0.9521505376344086,1.1573168121925421582041045610393004936216663420944358979079102994439935125291954E-18,0,0,0E-79,1
carbon,6,0.9536559139784946,1.1484241991266103812858540565226003919874487277971239133152097668548382728448115E-18,0,0,0E-79,1
