instance,row,col,x,y
u_spu26/node_178,59,39,0.24074074074074073,0.8703703703703702
u_spu26/node_179,54,43,0.2777777777777778,0.7962962962962962
u_spu26/node_180,59,43,0.2777777777777778,0.8703703703703702
u_spu26/node_181,54,48,0.31481481481481477,0.7962962962962962
u_spu26/node_182,56,48,0.31481481481481477,0.8333333333333331
u_spu26/node_183,59,48,0.31481481481481477,0.8703703703703702
u_spu26/node_184,61,39,0.24074074074074073,0.9074074074074073
u_spu26/node_185,63,39,0.24074074074074073,0.9444444444444443
u_spu26/node_186,62,38,0.24074074074074073,0.9814814814814814
u_spu26/node_187,61,43,0.2777777777777778,0.9074074074074073
u_spu26/node_188,63,43,0.2777777777777778,0.9814814814814814
u_spu26/node_189,61,48,0.31481481481481477,0.9074074074074073
u_spu26/node_190,63,48,0.31481481481481477,0.9444444444444443
u_spu26/node_191,62,47,0.31481481481481477,0.9814814814814814
u_spu26/node_192,5,53,0.35185185185185186,0.018518518518518517
u_spu26/node_193,8,53,0.35185185185185186,0.05555555555555555
u_spu26/node_194,10,53,0.35185185185185186,0.09259259259259259
u_spu26/node_195,5,57,0.38888888888888884,0.018518518518518517
u_spu26/node_196,10,57,0.38888888888888884,0.09259259259259259
u_spu26/node_197,5,62,0.42592592592592593,0.018518518518518517
u_spu26/node_198,8,62,0.42592592592592593,0.05555555555555555
u_spu26/node_199,10,62,0.42592592592592593,0.09259259259259259
u_spu26/node_200,12,53,0.35185185185185186,0.12962962962962962
u_spu26/node_201,14,53,0.35185185185185186,0.16666666666666666
u_spu26/node_202,17,53,0.35185185185185186,0.2037037037037037
u_spu26/node_203,12,57,0.38888888888888884,0.12962962962962962
u_spu26/node_204,17,57,0.38888888888888884,0.2037037037037037
u_spu26/node_205,12,62,0.42592592592592593,0.12962962962962962
u_spu26/node_206,14,62,0.42592592592592593,0.16666666666666666
u_spu26/node_207,17,62,0.42592592592592593,0.2037037037037037
u_spu26/node_208,19,53,0.35185185185185186,0.24074074074074073
u_spu26/node_209,22,53,0.35185185185185186,0.2777777777777778
u_spu26/node_210,24,53,0.35185185185185186,0.31481481481481477
u_spu26/node_211,19,57,0.38888888888888884,0.24074074074074073
u_spu26/node_212,24,57,0.38888888888888884,0.31481481481481477
u_spu26/node_213,19,62,0.42592592592592593,0.24074074074074073
u_spu26/node_214,22,62,0.42592592592592593,0.2777777777777778
u_spu26/node_215,24,62,0.42592592592592593,0.31481481481481477
u_spu26/node_216,5,67,0.4629629629629629,0.018518518518518517
u_spu26/node_217,8,67,0.4629629629629629,0.05555555555555555
u_spu26/node_218,10,67,0.4629629629629629,0.09259259259259259
u_spu26/node_219,5,72,0.5,0.018518518518518517
u_spu26/node_220,10,72,0.5,0.09259259259259259
u_spu26/node_221,5,76,0.537037037037037,0.018518518518518517
u_spu26/node_222,8,76,0.537037037037037,0.05555555555555555
u_spu26/node_223,10,76,0.537037037037037,0.09259259259259259
u_spu26/node_224,19,67,0.4629629629629629,0.24074074074074073
u_spu26/node_225,22,67,0.4629629629629629,0.2777777777777778
u_spu26/node_226,24,67,0.4629629629629629,0.31481481481481477
u_spu26/node_227,19,72,0.5,0.24074074074074073
u_spu26/node_228,24,72,0.5,0.31481481481481477
u_spu26/node_229,19,76,0.537037037037037,0.24074074074074073
u_spu26/node_230,22,76,0.537037037037037,0.2777777777777778
u_spu26/node_231,24,76,0.537037037037037,0.31481481481481477
u_spu26/node_232,5,81,0.5740740740740741,0.018518518518518517
u_spu26/node_233,8,81,0.5740740740740741,0.05555555555555555
u_spu26/node_234,10,81,0.5740740740740741,0.09259259259259259
u_spu26/node_235,5,86,0.611111111111111,0.018518518518518517
u_spu26/node_236,10,86,0.611111111111111,0.09259259259259259
u_spu26/node_237,5,90,0.6481481481481481,0.018518518518518517
u_spu26/node_238,8,90,0.6481481481481481,0.05555555555555555
u_spu26/node_239,10,90,0.6481481481481481,0.09259259259259259
u_spu26/node_240,12,81,0.5740740740740741,0.12962962962962962
u_spu26/node_241,14,81,0.5740740740740741,0.16666666666666666
u_spu26/node_242,17,81,0.5740740740740741,0.2037037037037037
u_spu26/node_243,12,86,0.611111111111111,0.12962962962962962
u_spu26/node_244,17,86,0.611111111111111,0.2037037037037037
u_spu26/node_245,12,90,0.6481481481481481,0.12962962962962962
u_spu26/node_246,14,90,0.6481481481481481,0.16666666666666666
u_spu26/node_247,17,90,0.6481481481481481,0.2037037037037037
u_spu26/node_248,19,81,0.5740740740740741,0.24074074074074073
u_spu26/node_249,22,81,0.5740740740740741,0.2777777777777778
u_spu26/node_250,24,81,0.5740740740740741,0.31481481481481477
u_spu26/node_251,19,86,0.611111111111111,0.24074074074074073
u_spu26/node_252,24,86,0.611111111111111,0.31481481481481477
u_spu26/node_253,19,90,0.6481481481481481,0.24074074074074073
u_spu26/node_254,22,90,0.6481481481481481,0.2777777777777778
u_spu26/node_255,24,90,0.6481481481481481,0.31481481481481477
u_spu26/node_256,47,53,0.35185185185185186,0.6851851851851851
u_spu26/node_257,50,53,0.35185185185185186,0.7222222222222222
u_spu26/node_258,52,53,0.35185185185185186,0.7592592592592592
